mlbAM_ID,Year,player_name,FF_pfx_z_diff,FF_pfx_x_CH_pfx_z_diff,FF_pfx_x_diff,FF_pfx_z_CH_pfx_x_diff,FF_release_speed_diff,FF_release_spin_rate_diff,FF_release_pos_x_diff,FF_release_pos_z_diff,CU_pfx_z_diff,CU_pfx_x_CH_pfx_z_diff,CU_pfx_x_diff,CU_pfx_z_CH_pfx_x_diff,CU_release_speed_diff,CU_release_spin_rate_diff,CU_release_pos_x_diff,CU_release_pos_z_diff,SL_pfx_z_diff,SL_pfx_x_CH_pfx_z_diff,SL_pfx_x_diff,SL_pfx_z_CH_pfx_x_diff,SL_release_speed_diff,SL_release_spin_rate_diff,SL_release_pos_x_diff,SL_release_pos_z_diff,SI_pfx_z_diff,SI_pfx_x_CH_pfx_z_diff,SI_pfx_x_diff,SI_pfx_z_CH_pfx_x_diff,SI_release_speed_diff,SI_release_spin_rate_diff,SI_release_pos_x_diff,SI_release_pos_z_diff,FC_pfx_z_diff,FC_pfx_x_CH_pfx_z_diff,FC_pfx_x_diff,FC_pfx_z_CH_pfx_x_diff,FC_release_speed_diff,FC_release_spin_rate_diff,FC_release_pos_x_diff,FC_release_pos_z_diff
669211,2022,"Akin, Keegan",0.8050048201705599,0.215037078235076,0.394962921764924,0.19500482017055987,10.572803114571755,401.0356321839083,0.16484390063032972,0.3086525769373383,1.4428227232537578,-1.4282073386383731,2.0382073386383732,-2.0528227232537577,4.127320954907148,617.6971706454467,0.004252873563218351,0.03408930150309519,0.8821703853955376,-1.204131169709263,1.814131169709263,-1.4921703853955375,0.6436105476673362,381.0689655172416,0.0540567951318458,0.043056118999324156,,,,,,,,,,,,,,,,
660896,2022,"Alcala, Jorge",0.6468121693121692,-1.3929761904761904,0.8186904761904763,2.8584788359788362,7.812566137566137,59.952380952380736,0.3399603174603172,0.2804232804232809,,,,,,,,,0.4715150150150151,-0.4846501501501502,1.7270165165165166,1.7401516516516518,0.5889639639639626,77.78142076502718,0.11873423423423413,0.21118918918918972,0.20394444444444437,-1.9420555555555556,0.26961111111111125,2.415611111111111,6.50833333333334,121.13333333333367,0.22716666666666674,0.2140000000000004,,,,,,,,
645261,2022,"Alcantara, Sandy",0.9368292682926829,-1.1351219512195123,0.5747309899569585,2.6466822094691533,6.770086083213755,337.0035868005741,0.0820086083213778,0.07085724533715876,0.6734905660377359,0.17235849056603775,1.8822114317425085,1.0363623751387347,8.05593784683687,421.6079356270809,0.03488623751387365,0.024603218645949276,0.14547945205479457,-0.12787671232876716,1.5819762288477035,1.5643734891216763,2.765914585012098,416.74556809024966,0.12282634971796957,0.10731063658340023,0.34634199134199123,-1.754134199134199,0.044281257957728304,2.056194932518462,6.119811560988026,389.9420040743569,0.1534638400814874,0.07595174433409735,,,,,,,,
641302,2022,"Alexander, Tyler",0.7447482255256461,0.1529161644569439,0.4453294495781439,0.14650261149055832,6.098948707646983,666.0767188563648,0.0077942948975491255,0.011134993973484164,0.5601754385964912,-0.9626754385964913,1.560921052631579,-1.158421052631579,2.7228070175438575,804.2190265486727,0.021973684210526034,0.07934210526315777,0.5586129385964913,-0.9088473135964912,1.507092927631579,-1.156858552631579,1.8548382675438546,829.4143390486727,0.08158305921052644,0.0034827302631574852,0.5664797338173018,0.6799969751966122,0.08175136116152437,-0.031765880217786036,6.154779189352695,618.0828196521209,0.07280217785843934,0.02719237749546277,0.05864274322169061,-0.7943572567783095,1.3926028708133973,-0.5396028708133972,1.4599202551834196,779.750844730491,0.05361722488038323,0.09679425837320554
663465,2022,"Allard, Kolby",0.3369274447949526,-0.3042712933753944,0.3253301169048062,0.3158686212655408,9.05499350528855,427.3215809983301,0.033013546112451,0.20727481907589596,1.8754285714285714,-1.4634285714285715,1.4844873949579833,-1.8964873949579832,5.78739495798321,288.99075630252105,0.02616806722689069,0.0860756302521013,,,,,,,,,,,,,,,,,0.4501990521327014,-1.264559241706161,1.2856180652355729,-0.4712578756621132,4.193972679119042,519.3478991596637,0.11549205464176171,0.17596933370504608
622075,2022,"Almonte, Yency",0.49393181818181814,-1.1172045454545454,0.49843181818181814,2.1095681818181817,6.881704545454539,333.01477272727266,0.24731818181818177,0.13952272727272685,,,,,,,,,0.5398136363636363,-0.04991363636363638,1.5657227272727272,1.0758227272727272,3.52563636363638,527.1263636363635,0.2204136363636362,0.1719954545454545,0.2883030303030302,-1.9663636363636363,0.3507272727272728,1.9039393939393938,6.8630303030303,195.0363636363636,0.00696969696969707,0.10187878787878724,,,,,,,,
640470,2022,"Alzolay, Adbert",0.5790481226864092,-1.5378371232152301,0.46796932839767336,2.5848545742993125,9.332152300370169,704.8416181914333,0.16894235854045503,0.12255684822845048,0.9303729838709677,0.17603326612903225,2.1818397177419357,1.0754334677419357,4.298790322580643,1179.2360566777209,0.22107862903225817,0.19465725806451584,0.5673200992555831,-0.052704714640198436,1.9531017369727048,1.4384863523573204,0.027171215880898103,1137.8885630498532,0.20182382133995058,0.14441687344913134,0.1800645161290323,-2.0929354838709675,0.08712903225806423,2.185870967741936,9.743709677419346,607.0987903225807,0.2123911290322582,0.1256572580645159,,,,,,,,
474463,2022,"Anderson, Brett",0.5411805555555557,-0.04631944444444436,0.4258750000000001,0.1616249999999999,7.479722222222236,510.26250000000005,0.351,0.13602777777777764,1.8630520393811532,-1.3521659634317862,1.7317215189873418,-2.2426075949367092,6.634043600562578,851.5417721518986,0.20432278481012656,0.06155133614627317,1.267817938420348,-0.9960107095046854,1.3755662650602412,-1.6473734939759037,0.49301874163319326,829.2963855421688,0.2027168674698796,0.27935609103078907,0.14529326047358837,0.45345719489981795,0.0739016393442622,-0.2342622950819674,6.991156648451735,326.1508196721311,0.07227049180327882,0.09461384335154843,0.16004993757802755,-0.6608489388264669,1.0404044943820225,-0.2195056179775282,4.5526154806491945,571.4022471910114,0.15175842696629216,0.20500249687890104
502624,2022,"Anderson, Chase",0.3561488185017596,-1.6312719959778783,0.839185520361991,2.826606334841629,9.932981397687271,70.22121669180478,0.06886375062845662,0.04892408245349422,2.3505639589169,-0.5789449112978523,1.891512605042017,0.11989355742296914,5.331746031746036,155.36937441643295,0.16613818860877694,0.0619066293183943,,,,,,,,,0.14891223155929056,-2.157754435107376,0.31270308123249313,2.6193697478991598,9.59920634920634,112.88842203548074,0.028576097105508902,0.042049486461251284,0.4956842788005785,-0.7155316070448534,1.7549259092950158,1.9747732375392908,4.722815945716704,198.53941679235822,0.17241081674400038,0.0008676345856413192
666120,2022,"Anderson, Ian",0.5060617367706919,-1.4189382632293082,0.45742537313432835,2.3824253731343283,6.659837177747633,298.09643372230244,0.16751017639077337,0.004190976933514001,1.559493888464477,-0.9015106951871659,0.9748529411764706,0.31686974789915967,7.307295645530942,350.43943784410294,0.007005347593582734,0.0052549656226128505,,,,,,,,,0.5248863636363634,-1.9188636363636364,0.04249999999999998,2.40125,6.396590909090918,275.0560344827586,0.1619318181818179,0.000795454545453822,,,,,,,,
