mlbAM_ID,Year,player_name,CU_pfx_z_diff,CU_pfx_x_FF_pfx_z_diff,CU_pfx_x_diff,CU_pfx_z_FF_pfx_x_diff,CU_release_speed_diff,CU_release_spin_rate_diff,CU_release_pos_x_diff,CU_release_pos_z_diff,SL_pfx_z_diff,SL_pfx_x_FF_pfx_z_diff,SL_pfx_x_diff,SL_pfx_z_FF_pfx_x_diff,SL_release_speed_diff,SL_release_spin_rate_diff,SL_release_pos_x_diff,SL_release_pos_z_diff,CH_pfx_z_diff,CH_pfx_x_FF_pfx_z_diff,CH_pfx_x_diff,CH_pfx_z_FF_pfx_x_diff,CH_release_speed_diff,CH_release_spin_rate_diff,CH_release_pos_x_diff,CH_release_pos_z_diff,SI_pfx_z_diff,SI_pfx_x_FF_pfx_z_diff,SI_pfx_x_diff,SI_pfx_z_FF_pfx_x_diff,SI_release_speed_diff,SI_release_spin_rate_diff,SI_release_pos_x_diff,SI_release_pos_z_diff,FC_pfx_z_diff,FC_pfx_x_FF_pfx_z_diff,FC_pfx_x_diff,FC_pfx_z_FF_pfx_x_diff,FC_release_speed_diff,FC_release_spin_rate_diff,FC_release_pos_x_diff,FC_release_pos_z_diff
669211,2022,"Akin, Keegan",2.2478275434243176,-2.233212158808933,1.6432444168734492,-1.6578598014888337,14.700124069478903,216.66153846153838,0.16909677419354807,0.2745632754342431,1.6871752055660973,-2.0091359898798227,1.419168247944339,-1.0972074636306135,11.216413662239091,19.966666666666697,0.21890069576217552,0.2655964579380141,0.8050048201705599,-0.19500482017055987,0.394962921764924,-0.215037078235076,10.572803114571755,401.0356321839083,0.16484390063032972,0.3086525769373383,,,,,,,,,,,,,,,,
660896,2022,"Alcala, Jorge",,,,,,,,,1.1183271843271843,-1.1314623194623195,0.9083260403260403,0.9214611754611755,8.4015301015301,17.829039812646442,0.22122608322608306,0.06923409123409119,0.6468121693121692,-2.8584788359788362,0.8186904761904763,1.3929761904761904,7.812566137566137,59.952380952380736,0.3399603174603172,0.2804232804232809,0.44286772486772485,-2.5888677248677245,0.5490793650793651,1.5969206349206349,1.3042328042327966,181.0857142857144,0.11279365079365045,0.0664232804232805,,,,,,,,
645261,2022,"Alcantara, Sandy",1.6103198343304186,-0.7644707777266451,1.30748044178555,0.4616313851817764,14.826023930050624,84.6043488265068,0.11689484583525145,0.04625402669120948,1.0823087203474775,-1.06470598062145,1.0072452388907451,0.9896424991647177,9.536000668225853,79.74198128967555,0.04081774139659178,0.03645339124624147,0.9368292682926829,-2.6466822094691533,0.5747309899569585,1.1351219512195123,6.770086083213755,337.0035868005741,0.0820086083213778,0.07085724533715876,0.5904872769506916,-2.690963467426882,0.6190122479146868,1.4814639425615035,0.6502745222257289,52.93841727378276,0.0714552317601096,0.00509449899693859,,,,,,,,
641302,2022,"Alexander, Tyler",1.3049236641221373,-1.7074236641221374,1.1155916030534352,-0.7130916030534351,8.82175572519084,138.1423076923079,0.014179389312976909,0.09047709923664193,1.3033611641221374,-1.6535955391221373,1.061763478053435,-0.7115291030534352,7.953786975190837,163.3376201923079,0.07378876431297732,0.01461772423664165,0.7447482255256461,-0.14650261149055832,0.4453294495781439,-0.1529161644569439,6.098948707646983,666.0767188563648,0.0077942948975491255,0.011134993973484164,0.17826849170834436,-0.06475125032903395,0.5270808107396683,0.4135635693603579,0.05583048170571203,47.99389920424392,0.08059647275598847,0.016057383521978608,0.6861054823039555,-1.5391054823039556,0.9472734212352534,-0.09427342123525329,4.639028452463563,113.67412587412628,0.061411519777932355,0.08565926439972138
663465,2022,"Allard, Kolby",2.212356016223524,-1.8003560162235241,1.1591572780531771,-1.571157278053177,14.84238846327176,138.33082469580904,0.05918161333934169,0.12119918882379466,,,,,,,,,0.3369274447949526,-0.3158686212655408,0.3253301169048062,0.3042712933753944,9.05499350528855,427.3215809983301,0.033013546112451,0.20727481907589596,,,,,,,,,0.787126496927654,-1.6014866865011137,0.9602879483307668,-0.145927758757307,4.861020826169508,92.02631816133362,0.08247850852931071,0.03130548537084987
622075,2022,"Almonte, Yency",,,,,,,,,1.0337454545454545,-0.5438454545454545,1.067290909090909,0.5773909090909091,10.40734090909092,194.11159090909086,0.02690454545454557,0.03247272727272765,0.49393181818181814,-2.1095681818181817,0.49843181818181814,1.1172045454545454,6.881704545454539,333.01477272727266,0.24731818181818177,0.13952272727272685,0.2056287878787879,-2.4602954545454545,0.8491590909090909,1.4055075757575757,0.01867424242423965,137.97840909090905,0.25428787878787884,0.03764393939393962,,,,,,,,
640470,2022,"Alzolay, Adbert",1.5094211065573768,-0.4030148565573769,1.7138703893442622,0.6074641393442624,13.630942622950812,474.3944384862875,0.05213627049180314,0.07210040983606536,1.1463682219419922,-0.6317528373266076,1.4851324085750317,0.970517023959647,9.30498108448927,433.0469448584199,0.03288146279949555,0.021860025220680868,0.5790481226864092,-2.5848545742993125,0.46796932839767336,1.5378371232152301,9.332152300370169,704.8416181914333,0.16894235854045503,0.12255684822845048,0.39898360655737686,-2.6719836065573768,0.5550983606557376,1.7179016393442623,0.41155737704917783,97.7428278688526,0.04344877049180318,0.0031004098360654098,,,,,,,,
474463,2022,"Anderson, Brett",2.404232594936709,-1.8933465189873417,1.3058465189873418,-1.8167325949367088,14.113765822784814,341.27927215189857,0.14667721518987342,0.1975791139240508,1.8089984939759036,-1.537191265060241,0.949691265060241,-1.2214984939759037,7.972740963855429,319.0338855421687,0.14828313253012038,0.14332831325301143,0.5411805555555557,-0.1616249999999999,0.4258750000000001,0.04631944444444436,7.479722222222236,510.26250000000005,0.351,0.13602777777777764,0.3958872950819673,-0.08772336065573771,0.4997766393442623,0.19161270491803273,0.4885655737705008,184.11168032786895,0.27872950819672115,0.041413934426229204,0.3811306179775281,-1.2020294943820224,0.6145294943820225,0.2063693820224719,2.9271067415730414,61.13974719101134,0.19924157303370782,0.0689747191011234
502624,2022,"Anderson, Chase",2.7067127774186597,-0.9350937297996119,1.052327084680026,-0.7192919629390219,15.264727429433307,85.14815772462816,0.23500193923723356,0.01298254686490008,,,,,,,,,0.3561488185017596,-2.826606334841629,0.839185520361991,1.6312719959778783,9.932981397687271,70.22121669180478,0.06886375062845662,0.04892408245349422,0.20723658694246905,-2.5139032536091355,0.5264824391294979,1.7801842275371689,0.33377504848093054,42.66720534367596,0.04028765352294772,0.006874595992242938,0.8518330973023381,-1.071680425546613,0.9157403889330248,1.1355877171772997,5.210165451970568,268.760633484163,0.241274567372457,0.04979171703913554
666120,2022,"Anderson, Ian",2.065555625235169,-1.4075724319578578,0.5174275680421423,-0.14055562523516868,13.967132823278575,52.343004121800504,0.16050482879719064,0.009445942556126852,,,,,,,,,0.5060617367706919,-2.3824253731343283,0.45742537313432835,1.4189382632293082,6.659837177747633,298.09643372230244,0.16751017639077337,0.004190976933514001,0.018824626865671545,-2.4249253731343283,0.49992537313432833,1.9438246268656716,0.2632462686567152,23.04039923954383,0.0055783582089554695,0.0033955223880601793,,,,,,,,
542881,2022,"Anderson, Tyler",2.6436917562724016,-1.840358422939068,0.887589605734767,-1.6909229390681004,18.393906810035844,38.60120120120109,0.018234767025089527,0.11412186379928446,,,,,,,,,0.3559457245263695,-0.6608028673835123,0.2919659498207886,0.5968230926779314,9.39628776241679,307.7206625980821,0.13691730670762903,0.01302099334357365,0.4438525749858515,-0.43766836445953583,0.5151004527447651,0.5089162422184494,0.8218307866440284,32.10412517780924,0.6338780418788905,0.37190152801358156,0.8145652309031014,-1.8675710112499222,0.9148021940456212,0.13820358630119955,5.3173814407359,119.6972191845025,0.39378068866927696,0.23818385232146166
